Model,Best Validation Accuracy,Test Accuracy,Test Loss,Training Time (s),Parameters
CNN,0.9092000126838684,0.9020000100135803,0.2757725715637207,62.104644900000494,225034
ANN,0.8788999915122986,0.8726000189781189,0.3599255681037903,8.045794100000421,101770
